,discourse_id,discourse_text
0,0013cc385424,"Hi, i'm Isaac, i'm going to be writing about how this face on Mars is a natural landform or if there is life on Mars that made it."
1,0013cc385424,The story is about how NASA took a picture of Mars and a face was seen on the planet.
2,0013cc385424,"NASA doesn't know if the landform was created by life on Mars, or if it is just a natural landform."
3,9704a709b505,"On my perspective, I think that the face is a natural landform because I dont think that there is any life on Mars."
4,9704a709b505,"In these next few paragraphs, I'll be talking about how I think that is is a natural landform"
5,c22adee811b6,I think that the face is a natural landform because there is no life on Mars that we have descovered yet
6,a10d361e54e4,"If life was on Mars, we would know by now."
7,a10d361e54e4,"The reason why I think it is a natural landform because, nobody live on Mars in order to create the figure."
8,a10d361e54e4,"It says in paragraph 9, ""It's not easy to target Cydonia,"" in which he is saying that its not easy to know if it is a natural landform at this point."
9,a10d361e54e4,"In all that they're saying, its probably a natural landform."
10,db3e453ec4e2,People thought that the face was formed by alieans because they thought that there was life on Mars.
11,36a565e45db7,"though some say that life on Mars does exist, I think that there is no life on Mars."
12,fb65fe816ba3,"It says in paragraph 7, on April 5, 1998, Mars Global Surveyor flew over Cydonia for the first time."
13,fb65fe816ba3,"Michael Malin took a picture of Mars with his Orbiter Camera, that the face was a natural landform."
14,4e472e2584fa,"Everyone who thought it was made by alieans even though it wasn't, was not satisfied."
15,4e472e2584fa,I think they were not satisfied because they have thought since 1976 that it was really formed by alieans.
16,28a94d3ee425,"Though people were not satified about how the landform was a natural landform, in all, we new that alieans did not form the face."
17,28a94d3ee425,I would like to know how the landform was formed.
18,28a94d3ee425,we know now that life on Mars doesn't exist.
19,d226f06362f5,Limiting the usage of cars has personal and professional support all across the globe and yet it has yet to be embraced everywhere.
20,d226f06362f5,"Statistical proof show where it may help and real life examples of some of the effects of reducing, or getting rid of altogether, cars in one's daily life."
21,d226f06362f5,"While ""recent studies suggest that Americans are buying fewer cars, driving less and getting fewer licenses as each year goes by"" (Source 4), is that really enough or for the right reason?"
22,d226f06362f5,"There are plenty of reasons to stop, or limit, the amount of cars being driven on the roads for every kind of person, from the hippie to the businessman, from the mom to the college student."
23,de347c859ab6,"With so many things in this world that few people agree on, this is a nice change to see in regards the removal of so many cars."
24,de347c859ab6,"Why would they all agree, one might ask."
25,de347c859ab6,"Well, there are plenty of reasons."
26,cc921c5cfda4,stress.
27,a6fcdd9110ab,It is no secret that morning traffic jams and 5'o'clock traffic is often enough to send any driver into a fit of unadulterated rage and what better way is there to prevent that than to simply not drive at all?
28,a6fcdd9110ab,"Mother and media trainer, Heidrum Walter attested to this after moving into a mostly car-less community, claiming ""when [she] had a car [she] was always tense."
29,a6fcdd9110ab,"[She's] much happier [that] way"" (Source 1)."
30,a6fcdd9110ab,"If that were not enough, businessman Carlos Arturo Plaza who participated in the Day Without Cars in Bogota, Colombia, after just a day was able to say ""it's a good oppurtunity to take away stress"" (Source 3)."
31,a6fcdd9110ab,"Just one day was enough to de-stress this man and if that does not speak wonders, one has to wonder what does."
32,a6fcdd9110ab,"The event ""[left] the streets of [Bogota] eerily devoid of traffic jams"" (Source 3), which goes to show how stressful it was everyday, with traffic jams a common occurance."
33,a6fcdd9110ab,"No one enjoys them, so why continue to suffer through them?"
34,6efd9102298b,the environment suffers greatly from the many car emissions let out on the roads.
35,d6807f31da92,"""Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe ... and up to 50 percent in some car-intensive areas in the United States"" (Source 1)."
36,d6807f31da92,This alone should be enough to horrify anyone out of such copious amounts of car usage.
37,d6807f31da92,"If that were not enough, ""transportation is the second largest source of America's emissions"" (Source 4)."
38,d6807f31da92,"It is clear that cars are only doing more harm to this earth all humans live on and happen to only have one of, so there is no need to continue on knowing this without changing something about that."
39,d6807f31da92,"Even car-pooling could significantly reduce emissions as there would be less cars out there, which is possible through ""more flexible commuting arrangements, including the evolution of shared van services for getting to work"" (Source 4)."
40,024f3edf0cdb,", adding the last two reasons together makes for another very important factor in all of this: everyone's general health."
41,024f3edf0cdb,"Both stress and high concentrations of smog can do a toll on one's body and the reduction of cars, once again, helps to reduce this terrible down-sides to the easy transportation option"
42,cf5dc6eb65e0,"If it must be described as ""emissions ... are choking cities"" (Source 1), then why not be a bit more concerned."
43,cf5dc6eb65e0,Air pollution can affect those with pre-existing respitory issues and stress can be a deciding factor in how effient and well a person can function.
44,cf5dc6eb65e0,"Stress on the road can lead to unsafe driving and a worse performance at work, school, or any other task-oriented location that many go to with the aid of a car."
45,8df2da9994bf,It is also worth noting that cities that have embraced a no car lifestyle such as Vauban or Bogota have generally improved as a community and have given back anything the newly car-less citizens may have been missing out on through saving them time and money.
46,033845420f01,"In Vauban, ""stores are placed a walk away, on a main street, rather than in malls along some distant highway"" (Source 1)."
47,033845420f01,"This is not only much more cost-efficient, but also convienent."
48,033845420f01,"This is saving both time and money, just like in Bogota where ""parks and sports centers [] have bloomed throughout the city; uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic; and new restaurants and upscale shopping districts have cropped up"" (Source 3)."
49,033845420f01,"Not only does this help individual citizens and business owners, it helps the overall economy of the city as well."
50,9fd314f638e5,Individual car use isn't bad.
51,9fd314f638e5,"Millions of individuals using cars, however, is very bad."
52,9fd314f638e5,Note the emphasis.
53,9fd314f638e5,"Even just making a concious effort to car pool, bike to work or school, use public transportation, or use some sort of alternative transportation could be enough to clear up the air of some of it's emissions, keep oneself and others happier and less stressed, save time and money, and improve their city all in one little decision."
54,9fd314f638e5,"It's just a matter of going ahead and doing it, so what is stopping anyone from going out and making that change now?"
55,9fd314f638e5,Be the change you want to see and limit your car usage now.
56,ed7e62a18bad,Should computers read the emotional expressions of students in a classroom?
57,c20937683442,"No because, why should a computer know how your feeling?"
58,4faec979a617,It wouldn't change the emotion the students feeling.
59,4faec979a617,It also wouldn't help with the students education.
60,4faec979a617,Its over all just a waste of time.
61,a44371d6abc5,The process begins when the computer puts together a 3-D digital model.
62,a44371d6abc5,There are 44 major muscles in your face that the computer has to detect.
63,a44371d6abc5,"Eckman classified six emotions happiness, surprise, anger, disgust, fear, and sadness."
64,a44371d6abc5,"He then "" associated each with characteristic movements of facial muscles."""
65,a44371d6abc5,For example the frontalis pars lateralis muscle is above your eye which shows your surpried when it is raised.
66,a44371d6abc5,Us humans alone can identify facial expressions on peoples faces.
67,a44371d6abc5,If you look at a friend you can tell how they are feeling at that moment.
68,a44371d6abc5,Da Vinci studied human anatomy to help paint the facial muscles percisely on the Mona Lisa painting.
69,a44371d6abc5,Dr. Huangs has new computer software it stores similar info as electronic code.
70,a44371d6abc5,He thinks there could be a different type of code to the painting.
71,e9257d57eae0,When facial facial expressions a made its about muscular action units.
72,e9257d57eae0,The school computer shouldn't have to know how you are feeling.
73,e9257d57eae0,What kind of problem is that supposed to solve
74,4a1e697d6488,This idea is nothing but just a distraction for school students.
75,4a1e697d6488,It also may detect wrong facial expressions.
76,af494e4e0b4f,To conclusion computers in school shouldn't detect emotions of the students.
77,af494e4e0b4f,I have proved my point on why it shouldn't be in school.
78,af494e4e0b4f,I have given you several examples from the passage to prove this point.
79,af494e4e0b4f,It shoudn't matter if the computer knows how your feeling.
80,9d03e2bef0ff,I think that it wouldn't be valueable to have technology be able to read emotions
81,cb1efb91bfe4,the fact that its really easy for someone else to get into your phone or tablet through face reconition
82,095847b91399,"People use face reconition alot and it can be a quicker way to get into your tablets and phones or any other electronics, but people can easily crack into the electronic and take any personal infomation that they need."
83,095847b91399,"I mean electonic ability to read people's emotions is cool and all, and its a huge next step into newer tecnology for the future, but the fact that you know say you needed to be happy to get into your phone, some one else can act happy and, well unlock your phone."
84,4e7b0234ed72,In paragraph six the article talks about how they could make different ads show if you were happy or frowning.
85,4e7b0234ed72,"That could be good but if your watching, like youtube or videos and an ad shows, your going to want to keep watching your video and not the ad."
86,4e7b0234ed72,"If a person is watching a show and an ad pops up and they smile, then it shows another ad that the person didnt want to see because they wanted to keep watching thier show."
87,4e7b0234ed72,"I think people would be angry if that happen, because not a lot of people like ads"
88,235278a2c6d7,"Ads can be good for promotion of products, but i think we all know when your playing a game on your electronic device that you want to keep playing or watching and not the ad."
89,9c3b9503c9a4,"The reasons why i said that this would be unvalueable is because the reason of security,like anything could go wrong because everything in technology can be unexpected."
90,9c3b9503c9a4,thats why i chose the reasons I did.
91,ed3a833a2f49,What is that thing on Mars?
92,c2203a58aa5c,"Well, some people believe that it was something made by aliens."
93,c2203a58aa5c,I am here to prove that it was not.
94,804266501124,The thing on Mars first was photographed in 1976.
95,804266501124,It is a huge rock formation that resembles a human face.
96,804266501124,"There are shadows that give it the illusion that it has eyes, a nose, and a mouth."
97,9e0d25faca07,Some believe that it is real evidence that there is life on Mars
98,7a01d9cb379a,well it is not.
99,a5e7a6893f7f,"On April 5, 1998, the Mars Global Surveyor flew over the ""Face."""
100,a5e7a6893f7f,The new cameras snapped a photograph that was ten times sharper than the original one.
101,a5e7a6893f7f,The new image revealed that it was a natural landform.
102,0ac0ff39b989,"Some skeptics said that maybe the alien markings were hidden by the clouds,"
103,244544e584aa,but in 2001 a newer image was taken
104,effe61fb5d6e,"This image was captured on a cloudless day, so there was nothing obstructing the view."
105,effe61fb5d6e,This image also shows
106,6f286d4b669a,"that the presumed face was a landform, and not the ancient work of aliens."
107,b199e5df1815,"So, in conclusion, the famous face on Mars was a natural landform."
108,b199e5df1815,This is supported by the pictures taken in 1998 and 2001.
109,b199e5df1815,The image captured in 2001 could also possibly see other objects if there were any.
110,b199e5df1815,"So, the face not a sign of life on Mars."
111,55f4bc9b664b,"Students around the world are forgetting more and more from their past school year, due to their long summer vacation."
112,55f4bc9b664b,"Because of this, many teachers are debating whether or not they should simply give students teacher-designed projects over the summer, or let the students design the projects themselves."
113,e713e8b20cf3,summer projects should be teacher-designed
114,f1d3e589dbbe,easy plagiarism
115,b8922c113c05,teachers' knowledge on how to deisgn and grade a project.
116,96f2ff86c0f9,"When i was in the 6th grade, for fun, our teacher assigned the class to design a volcano that had to shoot up as far as possible into the air, made with paper mache, glue, and other accessible materials."
117,96f2ff86c0f9,"There wasn't much instruction on how to do the volcano, as long as we were the ones building it, and the idea/design was original."
118,96f2ff86c0f9,"Most kids' volcanoes looked pretty amateur, with varying degrees of success."
119,96f2ff86c0f9,"However, the kid whose volcano shot up the highest, was disqualified for copying his design and materials exactly from a project someone had shared on the internet."
120,96f2ff86c0f9,"If a student can plagiarize someone's work from a project loosely designed by a teacher, then even more students can plagiarize a project that ""they themselves"" designed."
121,d203548d9024,"Often times throughout middle school, my teachers would give the students each other's assignments to grade themselves."
122,d203548d9024,"And afterwards, we would see in the grade book that the grade changed because the students weren't grading the assignments the way they should have been."
123,d203548d9024,"The student grading was meant to engage the classroom, but it turned into a showcase of how students dont really know how to grade the way teachers do."
124,d203548d9024,"If students are unaware of how a project is supposed to be graded, they can not successfully design a project that tests whether or not they understand the material."
125,e55c28aa864c,"Some people may say, ""but allowing students to design their own projects will allow them to focus more on their work during the summer."""
126,9eb4c757d0c3,"Whenever I'm given a summer assignment, I know for a fact it I won't even look at the assignment until maybe about a few days before the first day of school."
127,9eb4c757d0c3,Which would lead to me rushing a lazily put together assignment and a not so good grade.
128,9eb4c757d0c3,"Giving students the opportunity to design their own assignments will lead to students rushing their projects, and justifying it by claiming that the level of quality meets the standards of their assignment."
129,03294d2fcc6a,"It is important to keep students' minds engaged over the summer break, so they don't feel completely disoriented the following school year."
130,03294d2fcc6a,I know from personal experience that the break between school years has left me disinterested in continuing to learn and work for the next school year.
131,03294d2fcc6a,"However, giving students teacher-designed assignments will stimulate their brains and keep them focused over the break."
132,a041886eec7c,Have you ever been bored in a class room such as your highschool english classes?
133,a041886eec7c,"Well do to a brand new algorithum made by Dr. Paull Eckman, creator of the FACS(Facial Action Coding System), you can finaly be exited about learning about greek and latin roots."
134,a041886eec7c,This program can detect how you are felling and in what precentages
135,9cdb031bf4c9,In the following paragraphs they will talk about if we should or should not read students faces to make the classroom experience more enjoyable.
136,94d217778be6,Well to start off the technology has decoded the Mona Lisa smile
137,c24890bd6f6a,You know they one the smile that seams somewhat omanis when you look at it.
138,c24890bd6f6a,well this program has determend that the paintings famous smile is mostly happy.
139,c24890bd6f6a,"The spcifics of the smile are as follows she's 83 precent happy, 9 precent disgusted, 6 precent fearful, and 2 precent angry."
140,c24890bd6f6a,This computer software known as the FACS looks adn all 44 major mussles and then makes a decison based on that.
141,c24890bd6f6a,How can this be helpfull to schools.
